# Die implizite Gleichung fuer tau, als zwei Kurven ueber der Frequenz:
#   tau_from_eps(f) = eps0 eps_r(f) / K   -- aus der GEMESSENEN Kurve
#   tau_from_f(f)   = 1 / (2 pi f)        -- die Definition von f*
# Ihr Schnittpunkt ist die Loesung.  Es wird nichts angepasst und keine
# Dispersionsfunktion erfunden; zwischen Messfrequenzen wird logarithmisch
# interpoliert und ausserhalb gar nicht erst gerechnet.
frequency_Hz,eps_r,tau_from_eps_s,tau_from_f_s,is_solution
1.300332293e+10,8.699310256e+00,4.942726204e-11,1.223955937e-11,no
1.309762433e+10,8.679809171e+00,4.931646185e-11,1.215143595e-11,no
1.319260960e+10,8.660308086e+00,4.920566165e-11,1.206394701e-11,no
1.328828372e+10,8.640807000e+00,4.909486146e-11,1.197708797e-11,no
1.338465167e+10,8.621305915e+00,4.898406127e-11,1.189085432e-11,no
1.348171849e+10,8.601804830e+00,4.887326108e-11,1.180524153e-11,no
1.357948926e+10,8.582303745e+00,4.876246088e-11,1.172024515e-11,no
1.367796906e+10,8.562802660e+00,4.865166069e-11,1.163586073e-11,no
1.377716305e+10,8.543301574e+00,4.854086050e-11,1.155208387e-11,no
1.387707641e+10,8.523800489e+00,4.843006031e-11,1.146891019e-11,no
1.397771435e+10,8.504299404e+00,4.831926012e-11,1.138633536e-11,no
1.407908212e+10,8.483671273e+00,4.820205634e-11,1.130435505e-11,no
1.418118503e+10,8.462724386e+00,4.808304147e-11,1.122296499e-11,no
1.428402839e+10,8.441777499e+00,4.796402660e-11,1.114216093e-11,no
1.438761758e+10,8.420830612e+00,4.784501173e-11,1.106193865e-11,no
1.449195802e+10,8.399883725e+00,4.772599686e-11,1.098229397e-11,no
1.459705514e+10,8.378936838e+00,4.760698199e-11,1.090322271e-11,no
1.470291443e+10,8.357989951e+00,4.748796712e-11,1.082472076e-11,no
1.480954143e+10,8.337043064e+00,4.736895225e-11,1.074678401e-11,no
1.491694170e+10,8.316096177e+00,4.724993738e-11,1.066940840e-11,no
1.502512084e+10,8.294814502e+00,4.712902033e-11,1.059258989e-11,no
1.513408451e+10,8.272421893e+00,4.700179124e-11,1.051632446e-11,no
1.524383840e+10,8.250029284e+00,4.687456215e-11,1.044060813e-11,no
1.535438823e+10,8.227636674e+00,4.674733305e-11,1.036543695e-11,no
1.546573978e+10,8.205244065e+00,4.662010396e-11,1.029080700e-11,no
1.557789886e+10,8.182851456e+00,4.649287486e-11,1.021671437e-11,no
1.569087133e+10,8.160458847e+00,4.636564577e-11,1.014315520e-11,no
1.580466309e+10,8.138066238e+00,4.623841668e-11,1.007012564e-11,no
1.591928008e+10,8.115673629e+00,4.611118758e-11,9.997621897e-12,no
1.603472828e+10,8.092847245e+00,4.598149389e-11,9.925640167e-12,no
1.615101372e+10,8.069008979e+00,4.584605094e-11,9.854176698e-12,no
1.626814248e+10,8.045170712e+00,4.571060800e-11,9.783227758e-12,no
1.638612067e+10,8.021332446e+00,4.557516505e-11,9.712789642e-12,no
1.650495444e+10,7.997494180e+00,4.543972210e-11,9.642858672e-12,no
1.662465001e+10,7.973655913e+00,4.530427915e-11,9.573431197e-12,no
1.674521363e+10,7.949817647e+00,4.516883620e-11,9.504503592e-12,no
1.686665158e+10,7.925979381e+00,4.503339325e-11,9.436072258e-12,no
1.698897022e+10,7.902141115e+00,4.489795030e-11,9.368133622e-12,no
1.711217592e+10,7.876987087e+00,4.475503153e-11,9.300684136e-12,no
1.723627512e+10,7.851703217e+00,4.461137503e-11,9.233720278e-12,no
1.736127430e+10,7.826419348e+00,4.446771854e-11,9.167238553e-12,no
1.748717999e+10,7.801135478e+00,4.432406204e-11,9.101235488e-12,no
1.761399876e+10,7.775851609e+00,4.418040554e-11,9.035707638e-12,no
1.774173723e+10,7.750567739e+00,4.403674904e-11,8.970651581e-12,no
1.787040207e+10,7.725283870e+00,4.389309254e-11,8.906063920e-12,no
1.800000000e+10,7.700000000e+00,4.374943605e-11,8.841941283e-12,no
2.626790549e+09,1.066382360e+01,6.058912582e-11,6.058912582e-11,yes
